"AnonID","State","Started.on","Completed","Time.taken","Grade.100.00","Q1..5.00","Q2..5.00","Q3..5.00","Q4..5.00","Q5..5.00","Q6..5.00","Q7..5.00","Q8..5.00","Q9..5.00","Q10..5.00","Q11..5.00","Q12..5.00","Q13..5.00","Q14..5.00","Q15..5.00","Q16..5.00","Q17..5.00","Q18..5.00","Q19..5.00","Q20..5.00"
"S3ddcde89","Finished","20 August 2019  5:24 PM","20 August 2019  6:46 PM","1 hour 21 mins",80.63,"5.00","5.00","3.00","0.00","2.00","5.00","0.00","5.00","5.00","0.63","5.00","5.00","5.00","5.00","5.00","5.00","5.00","5.00","5.00","5.00"
"Sa15f07a4","Finished","20 August 2019  5:43 PM","20 August 2019  7:10 PM","1 hour 26 mins",82,"0.00","5.00","5.00","5.00","2.00","5.00","5.00","5.00","5.00","5.00","5.00","0.00","5.00","5.00","5.00","5.00","5.00","5.00","5.00","0.00"
"S9f474f76","Finished","20 August 2019  6:11 PM","20 August 2019  7:10 PM","59 mins 6 secs",87,"5.00","5.00","5.00","5.00","2.00","5.00","0.00","5.00","5.00","5.00","5.00","5.00","5.00","5.00","0.00","5.00","5.00","5.00","5.00","5.00"
"S9ae9b14b","Finished","20 August 2019  6:31 PM","20 August 2019  7:56 PM","1 hour 25 mins",77.5,"5.00","5.00","5.00","5.00","0.00","-","0.00","0.00","5.00","2.50","5.00","5.00","5.00","5.00","5.00","5.00","5.00","5.00","5.00","5.00"
"S5b8c8725","Finished","20 August 2019  6:33 PM","20 August 2019  8:00 PM","1 hour 27 mins",90.25,"5.00","5.00","5.00","5.00","2.00","5.00","5.00","5.00","5.00","1.25","5.00","5.00","5.00","2.00","5.00","5.00","5.00","5.00","5.00","5.00"
"S6ba326fb","Finished","20 August 2019  6:37 PM","20 August 2019  7:32 PM","54 mins 45 secs",81.38,"5.00","5.00","5.00","5.00","5.00","5.00","0.00","5.00","5.00","0.63","5.00","5.00","5.00","2.00","3.75","5.00","5.00","5.00","5.00","0.00"
"S2a0f4371","Finished","20 August 2019  7:02 PM","20 August 2019  7:57 PM","54 mins 37 secs",81.5,"5.00","0.00","5.00","5.00","2.00","5.00","0.00","5.00","5.00","2.50","5.00","5.00","5.00","2.00","5.00","5.00","5.00","5.00","5.00","5.00"
"Sbf13e31a","Finished","20 August 2019  7:49 PM","20 August 2019  9:19 PM","1 hour 30 mins",69.5,"5.00","5.00","5.00","5.00","0.00","5.00","0.00","5.00","2.50","5.00","5.00","5.00","5.00","2.00","0.00","5.00","5.00","0.00","0.00","5.00"
"S09bf27c3","Finished","20 August 2019  8:01 PM","20 August 2019  9:31 PM","1 hour 29 mins",98.75,"5.00","5.00","5.00","5.00","5.00","5.00","5.00","5.00","5.00","3.75","5.00","5.00","5.00","5.00","5.00","5.00","5.00","5.00","5.00","5.00"
"S9b01d3b6","Finished","20 August 2019  8:05 PM","20 August 2019  9:34 PM","1 hour 29 mins",58.5,"0.00","5.00","5.00","5.00","2.00","-","0.00","5.00","2.50","2.50","5.00","5.00","2.00","2.00","2.50","5.00","5.00","5.00","0.00","0.00"
"Sf34e7e3e","Finished","20 August 2019  8:06 PM","20 August 2019  9:36 PM","1 hour 30 mins",62.75,"5.00","0.00","2.00","-","-","5.00","5.00","5.00","5.00","1.25","5.00","5.00","5.00","2.00","2.50","5.00","5.00","0.00","0.00","5.00"
"Sdefae894","Finished","20 August 2019  8:10 PM","20 August 2019  9:31 PM","1 hour 21 mins",78,"5.00","5.00","5.00","0.00","0.00","5.00","0.00","5.00","5.00","5.00","5.00","1.00","5.00","2.00","5.00","5.00","5.00","5.00","5.00","5.00"
