anon_id,course_year,course_code,course_name,assessment_mark
Sd2277d3a,2018/9,MATH08057,Introduction to Linear Algebra,93
Sd2277d3a,2018/9,MATH08058,Calculus and its Applications,70
Sebd85dd3,2018/9,MATH08057,Introduction to Linear Algebra,84
Sbf8c7cd2,2018/9,MATH08057,Introduction to Linear Algebra,94
S4721f7fb,2018/9,MATH08057,Introduction to Linear Algebra,81
Sb1e190a6,2018/9,MATH08057,Introduction to Linear Algebra,65
Sb1e190a6,2018/9,MATH08058,Calculus and its Applications,66
Sd34074ce,2018/9,MATH08057,Introduction to Linear Algebra,83
Sd34074ce,2018/9,MATH08058,Calculus and its Applications,76
Sfe608332,2019/0,MATH08057,Introduction to Linear Algebra,63
Sfe608332,2019/0,MATH08058,Calculus and its Applications,96
Se689c6fb,2018/9,MATH08057,Introduction to Linear Algebra,93
Se689c6fb,2018/9,MATH08058,Calculus and its Applications,90
S41dd7932,2018/9,MATH07003,Fundamentals of Algebra and Calculus,79
S8e8a2b44,2018/9,MATH07003,Fundamentals of Algebra and Calculus,70
S8e8a2b44,2018/9,MATH08057,Introduction to Linear Algebra,63
S8e8a2b44,2018/9,MATH08058,Calculus and its Applications,59
Sfda04c80,2019/0,MATH07003,Fundamentals of Algebra and Calculus,63
S4bc9e394,2018/9,MATH08057,Introduction to Linear Algebra,99
S6323b74a,2018/9,MATH07003,Fundamentals of Algebra and Calculus,77
S01c2220a,2018/9,MATH07003,Fundamentals of Algebra and Calculus,63
S509c3351,2018/9,MATH08057,Introduction to Linear Algebra,74
S509c3351,2018/9,MATH08058,Calculus and its Applications,77
S1ad783e7,2018/9,MATH07003,Fundamentals of Algebra and Calculus,70
S11e4143c,2018/9,MATH08057,Introduction to Linear Algebra,51
S11e4143c,2018/9,MATH08058,Calculus and its Applications,49
S11e4143c,2019/0,MATH07003,Fundamentals of Algebra and Calculus,47
S539c84d9,2018/9,MATH08057,Introduction to Linear Algebra,93
S539c84d9,2018/9,MATH08058,Calculus and its Applications,83
S9ccbd6af,2018/9,MATH07003,Fundamentals of Algebra and Calculus,79
S93814207,2018/9,MATH08057,Introduction to Linear Algebra,91
S93814207,2018/9,MATH08058,Calculus and its Applications,90
S07dceaa4,2018/9,MATH08057,Introduction to Linear Algebra,77
S07dceaa4,2018/9,MATH08058,Calculus and its Applications,76
S2fe838c9,2019/0,MATH07003,Fundamentals of Algebra and Calculus,53
S43a4a724,2018/9,MATH07003,Fundamentals of Algebra and Calculus,86
S4e6bbe36,2018/9,MATH07003,Fundamentals of Algebra and Calculus,88
S95bd5fb6,2018/9,MATH07003,Fundamentals of Algebra and Calculus,87
S0b748fe3,2018/9,MATH07003,Fundamentals of Algebra and Calculus,77
Sbd617a49,2018/9,MATH07003,Fundamentals of Algebra and Calculus,69
S0e34e187,2018/9,MATH07003,Fundamentals of Algebra and Calculus,82
Sfdd6d26a,2018/9,MATH07003,Fundamentals of Algebra and Calculus,69
Sf234c078,2018/9,MATH08058,Calculus and its Applications,56
Sda001215,2018/9,MATH07003,Fundamentals of Algebra and Calculus,100
Sda001215,2018/9,MATH08057,Introduction to Linear Algebra,78
Sda001215,2018/9,MATH08058,Calculus and its Applications,62
Sf4c84eb1,2018/9,MATH08057,Introduction to Linear Algebra,84
Sf4c84eb1,2018/9,MATH08058,Calculus and its Applications,75
S072a7d5c,2018/9,MATH08057,Introduction to Linear Algebra,69
S072a7d5c,2018/9,MATH08058,Calculus and its Applications,77
S13abceaa,2018/9,MATH08057,Introduction to Linear Algebra,77
S13abceaa,2018/9,MATH08058,Calculus and its Applications,58
S082098dc,2018/9,MATH08057,Introduction to Linear Algebra,69
S082098dc,2018/9,MATH08058,Calculus and its Applications,55
Sc777caaa,2018/9,MATH08057,Introduction to Linear Algebra,65
Sc777caaa,2018/9,MATH08058,Calculus and its Applications,61
S65cbe81c,2018/9,MATH08057,Introduction to Linear Algebra,77
S65cbe81c,2018/9,MATH08058,Calculus and its Applications,74
S319593aa,2018/9,MATH08057,Introduction to Linear Algebra,62
S319593aa,2018/9,MATH08058,Calculus and its Applications,53
S5c7ee36a,2018/9,MATH08057,Introduction to Linear Algebra,86
S5c7ee36a,2018/9,MATH08058,Calculus and its Applications,69
Se0d70adc,2018/9,MATH08057,Introduction to Linear Algebra,76
Se0d70adc,2018/9,MATH08058,Calculus and its Applications,67
S7ede49f1,2018/9,MATH08058,Calculus and its Applications,41
Sdc626b47,2018/9,MATH08057,Introduction to Linear Algebra,82
Sdc626b47,2018/9,MATH08058,Calculus and its Applications,73
S31013e86,2018/9,MATH08057,Introduction to Linear Algebra,83
S31013e86,2018/9,MATH08058,Calculus and its Applications,66
Sbb89ce5d,2018/9,MATH08057,Introduction to Linear Algebra,91
Sbb89ce5d,2018/9,MATH08058,Calculus and its Applications,64
S472b33af,2018/9,MATH08057,Introduction to Linear Algebra,76
S472b33af,2018/9,MATH08058,Calculus and its Applications,70
S197fc774,2018/9,MATH08057,Introduction to Linear Algebra,76
S197fc774,2018/9,MATH08058,Calculus and its Applications,69
S197fc774,2019/0,MATH07003,Fundamentals of Algebra and Calculus,52
Sc2a37c43,2020/1,MATH08057,Introduction to Linear Algebra,68
S71143f09,2019/0,MATH08058,Calculus and its Applications,0
Sf761cdf6,2018/9,MATH08058,Calculus and its Applications,88
S26bda31b,2018/9,MATH08058,Calculus and its Applications,89
S4b885568,2018/9,MATH08058,Calculus and its Applications,90
S435da3ba,2019/0,MATH07003,Fundamentals of Algebra and Calculus,66
S435da3ba,2019/0,MATH08057,Introduction to Linear Algebra,78
S435da3ba,2019/0,MATH08058,Calculus and its Applications,100
S92d5f303,2019/0,MATH08057,Introduction to Linear Algebra,85
S92d5f303,2019/0,MATH08058,Calculus and its Applications,100
S7a684a9c,2019/0,MATH08057,Introduction to Linear Algebra,48
S121da72a,2019/0,MATH08058,Calculus and its Applications,91
Se1ff94c7,2019/0,MATH08057,Introduction to Linear Algebra,99
Se1ff94c7,2019/0,MATH08058,Calculus and its Applications,100
Se0c68c71,2019/0,MATH08057,Introduction to Linear Algebra,65
Se0c68c71,2019/0,MATH08058,Calculus and its Applications,84
S933837b1,2019/0,MATH08057,Introduction to Linear Algebra,96
S933837b1,2019/0,MATH08058,Calculus and its Applications,90
S0d31749c,2019/0,MATH07003,Fundamentals of Algebra and Calculus,80
S0d31749c,2019/0,MATH08057,Introduction to Linear Algebra,92
S0d31749c,2019/0,MATH08058,Calculus and its Applications,95
S2a0f4371,2019/0,MATH08057,Introduction to Linear Algebra,68
S2a0f4371,2019/0,MATH08058,Calculus and its Applications,99
Sa5c7a86f,2019/0,MATH08057,Introduction to Linear Algebra,100
Sa5c7a86f,2019/0,MATH08058,Calculus and its Applications,100
S11a13226,2019/0,MATH08057,Introduction to Linear Algebra,98
S11a13226,2019/0,MATH08058,Calculus and its Applications,100
S3915021b,2019/0,MATH08057,Introduction to Linear Algebra,83
S3915021b,2019/0,MATH08058,Calculus and its Applications,100
S45e15c5b,2019/0,MATH08057,Introduction to Linear Algebra,67
S45e15c5b,2019/0,MATH08058,Calculus and its Applications,86
S0f16252b,2019/0,MATH08058,Calculus and its Applications,72
Seda113d9,2020/1,MATH08058,Calculus and its Applications,NA
S36f71009,2019/0,MATH08057,Introduction to Linear Algebra,56
S36f71009,2019/0,MATH08058,Calculus and its Applications,87
Sd1949012,2019/0,MATH08057,Introduction to Linear Algebra,78
Sd1949012,2019/0,MATH08058,Calculus and its Applications,97
S5f251292,2019/0,MATH08057,Introduction to Linear Algebra,87
S5f251292,2019/0,MATH08058,Calculus and its Applications,99
Sc12c51bf,2019/0,MATH08057,Introduction to Linear Algebra,76
