"AnonID","State","Started.on","Completed","Time.taken","Grade.100.00","Q1..5.00","Q2..5.00","Q3..5.00","Q4..5.00","Q5..5.00","Q6..5.00","Q7..5.00","Q8..5.00","Q9..5.00","Q10..5.00","Q11..5.00","Q12..5.00","Q13..5.00","Q14..5.00","Q15..5.00","Q16..5.00","Q17..5.00","Q18..5.00","Q19..5.00","Q20..5.00"
"S6e1374d6","Finished","9 January 2019  4:55 PM","9 January 2019  5:26 PM","31 mins 2 secs",84.5,"5.00","5.00","5.00","5.00","2.00","5.00","0.00","5.00","2.50","5.00","5.00","0.00","5.00","5.00","5.00","5.00","5.00","5.00","5.00","5.00"
"S275dfefc","Finished","9 January 2019  6:25 PM","9 January 2019  7:49 PM","1 hour 24 mins",77,"5.00","5.00","5.00","0.00","-","5.00","0.00","5.00","5.00","5.00","5.00","5.00","5.00","2.00","5.00","5.00","5.00","5.00","0.00","5.00"
"S86cf68e3","Finished","10 January 2019  1:03 PM","10 January 2019  2:35 PM","1 hour 32 mins",63.75,"5.00","-","3.75","5.00","-","5.00","-","5.00","5.00","-","5.00","5.00","5.00","5.00","5.00","5.00","5.00","-","-","-"
"S6c94147e","Finished","11 January 2019  4:16 PM","11 January 2019  5:22 PM","1 hour 5 mins",93,"5.00","5.00","5.00","5.00","5.00","5.00","0.00","5.00","5.00","5.00","5.00","5.00","5.00","3.00","5.00","5.00","5.00","5.00","5.00","5.00"
"S8cf0572b","Finished","12 January 2019  3:20 PM","12 January 2019  4:13 PM","53 mins 23 secs",100,"5.00","5.00","5.00","5.00","5.00","5.00","5.00","5.00","5.00","5.00","5.00","5.00","5.00","5.00","5.00","5.00","5.00","5.00","5.00","5.00"
"Sbd80b50c","Finished","12 January 2019  11:13 PM","12 January 2019  11:45 PM","32 mins 4 secs",78.5,"5.00","5.00","2.50","5.00","2.00","5.00","5.00","5.00","2.50","2.50","2.00","5.00","5.00","2.00","5.00","5.00","5.00","5.00","5.00","0.00"
"Sef892c16","Finished","13 January 2019  9:02 AM","13 January 2019  9:34 AM","32 mins 17 secs",89,"5.00","5.00","5.00","5.00","5.00","5.00","0.00","5.00","5.00","5.00","2.00","5.00","5.00","2.00","5.00","5.00","5.00","5.00","5.00","5.00"
"Sf4c84eb1","Finished","13 January 2019  11:53 AM","13 January 2019  1:19 PM","1 hour 26 mins",87,"5.00","5.00","5.00","5.00","2.00","5.00","0.00","5.00","5.00","5.00","5.00","5.00","5.00","5.00","0.00","5.00","5.00","5.00","5.00","5.00"
"S1b68e3d4","Finished","13 January 2019  2:06 PM","13 January 2019  2:45 PM","38 mins 36 secs",71,"5.00","5.00","3.75","5.00","2.00","5.00","-","5.00","5.00","1.25","2.00","5.00","5.00","2.00","5.00","5.00","5.00","5.00","-","0.00"
"S65cbe81c","Finished","13 January 2019  3:29 PM","13 January 2019  4:27 PM","58 mins 35 secs",76.5,"5.00","5.00","3.75","5.00","2.00","5.00","0.00","5.00","0.00","3.75","5.00","5.00","2.00","5.00","5.00","5.00","5.00","5.00","5.00","0.00"
"S3da6c4c4","Finished","14 January 2019  11:13 AM","14 January 2019  12:00 PM","47 mins 20 secs",82,"5.00","5.00","5.00","5.00","2.00","2.50","0.00","5.00","2.50","5.00","5.00","5.00","5.00","5.00","5.00","5.00","5.00","0.00","5.00","5.00"
"Sa72a172f","Finished","14 January 2019  12:27 PM","14 January 2019  1:14 PM","46 mins 38 secs",82.5,"5.00","5.00","5.00","0.00","5.00","0.00","0.00","5.00","5.00","5.00","5.00","5.00","5.00","5.00","2.50","5.00","5.00","5.00","5.00","5.00"
"S5dac856c","Finished","14 January 2019  2:06 PM","14 January 2019  2:58 PM","51 mins 36 secs",93.38,"5.00","5.00","5.00","5.00","2.00","5.00","5.00","5.00","5.00","4.38","5.00","5.00","5.00","2.00","5.00","5.00","5.00","5.00","5.00","5.00"
"Sc6426351","Finished","14 January 2019  2:14 PM","14 January 2019  3:38 PM","1 hour 24 mins",78.75,"5.00","5.00","5.00","5.00","5.00","5.00","0.00","5.00","2.50","1.25","5.00","5.00","5.00","5.00","5.00","5.00","5.00","0.00","5.00","0.00"
"Sc9b73fa2","Finished","14 January 2019  2:18 PM","14 January 2019  3:48 PM","1 hour 29 mins",62.25,"5.00","5.00","2.50","5.00","-","5.00","0.00","5.00","2.50","1.25","5.00","5.00","5.00","1.00","0.00","5.00","5.00","0.00","-","5.00"
"Sc37b80eb","Finished","14 January 2019  2:19 PM","14 January 2019  3:13 PM","53 mins 57 secs",29.13,"0.00","0.00","3.75","5.00","0.00","2.50","0.00","0.00","2.50","1.88","1.00","0.00","0.00","0.00","2.50","5.00","5.00","0.00","0.00","0.00"
"S3c3ba7ad","Finished","14 January 2019  2:22 PM","14 January 2019  3:21 PM","58 mins 44 secs",93.88,"5.00","5.00","5.00","5.00","5.00","5.00","5.00","5.00","2.50","4.38","5.00","5.00","5.00","2.00","5.00","5.00","5.00","5.00","5.00","5.00"
"Sd976b3c8","Finished","14 January 2019  2:24 PM","14 January 2019  3:54 PM","1 hour 30 mins",62.63,"5.00","5.00","2.50","5.00","2.00","5.00","5.00","0.00","5.00","3.13","5.00","5.00","5.00","-","0.00","5.00","5.00","-","0.00","0.00"
