cohort,anon_id,Post,Pre,ILA,CAP,FAC,took_FAC
1920,Sda7fead2,71.75,NA,NA,90,NA,No FAC
1920,Sba7cd768,93.25,79.5,62,92,NA,No FAC
1920,S64b906de,78.88,74,51,92,78,FAC
1920,Seb5bd180,78.75,54.75,77,93,NA,No FAC
1920,S07082c9f,63.63,65.5,83,94,NA,No FAC
1920,S3d595a8f,75.13,60.25,74,99,NA,No FAC
1920,Sb21227fd,86.13,76,77,93,NA,No FAC
1920,S1e349248,69.5,59.13,61,80,NA,No FAC
1920,S85ebd464,83.75,59.25,80,100,NA,No FAC
1920,S5df8c2fa,75.75,80.13,90,97,NA,No FAC
1920,S57ac778e,74.75,NA,52,91,0,FAC
1920,S2a9412a5,79,97,73,91,NA,No FAC
1920,S73c22ee8,93.88,83.5,76,72,NA,No FAC
1920,Sfff1c718,69,55.75,58,80,NA,No FAC
1920,Se40e572e,84.5,84.63,75,99,NA,No FAC
1920,S9d37bfeb,93.25,48.75,70,98,62,FAC
1920,Sa6b1dff7,67.25,68.38,75,90,NA,No FAC
1920,S0469a05e,62.5,87,89,88,NA,No FAC
1920,S183a5f5a,62.75,63.25,52,78,NA,No FAC
1920,S2d51af81,56.38,NA,63,47,69,FAC
1920,S03428d23,95,95,93,93,NA,No FAC
1920,S6b0bd5e0,95,NA,NA,91,NA,No FAC
1920,S4dbadc72,85.75,NA,NA,68,67,FAC
1920,S54231eb7,97.5,90,95,100,NA,No FAC
1920,Sa56c0413,70,73,72,85,NA,No FAC
1920,Sa0c1fbb3,84.75,NA,61,96,NA,No FAC
1920,Sfae9aa54,97,81.75,99,100,NA,No FAC
1920,S5d6a081d,87.5,85.63,74,99,NA,No FAC
1920,Sabbd7f5b,85.13,75.38,71,93,NA,No FAC
1920,S287ec180,78.38,NA,NA,89,NA,No FAC
1920,S91f818cd,84.13,NA,73,78,NA,No FAC
1920,S4e463856,80,80.13,64,74,NA,No FAC
1920,S12734bc0,91,95.13,96,100,NA,No FAC
1920,Sa801ea57,92,NA,NA,93,NA,No FAC
1920,Sf6dbecab,92,66.25,82,97,67,FAC
1920,S95296c79,100,100,87,100,100,FAC
1920,S3becfe44,91,89.5,56,90,NA,No FAC
1920,Scb44f25a,68.75,69.63,79,85,79,FAC
1920,S7f9d5d56,77.75,78.25,79,51,NA,No FAC
1920,Sccd63811,75.5,80.75,76,73,NA,No FAC
1920,Sbe37b100,78.25,71.5,62,70,60,FAC
1920,S6982a53f,72.63,78.75,76,99,NA,No FAC
1920,S9b01d3b6,70.75,58.5,54,0,NA,No FAC
1920,S5bf1f10d,42,29.5,45,76,NA,No FAC
1920,Sa1bd3462,90,97,97,74,NA,No FAC
1920,Sfab045f3,63.13,NA,77,98,NA,No FAC
1920,Sd47f0cf0,95.75,NA,70,68,NA,No FAC
1920,S624710a4,66.25,80.38,68,49,NA,No FAC
1920,Se33a8f74,52.63,25.5,61,63,NA,No FAC
1920,Sc3900f26,97.5,70.75,67,97,NA,No FAC
1920,Sc7d94445,90.13,NA,81,100,NA,No FAC
1920,S79f45225,81.38,93.75,74,99,NA,No FAC
1920,S6c073e75,72.5,83.88,69,90,NA,No FAC
1920,Sf0a35411,92,84.5,78,98,86,FAC
1920,S321fd463,82,NA,NA,42,NA,No FAC
1920,Sd03a0f4e,62.13,56,45,78,NA,No FAC
1920,S9893db78,88.5,78.25,80,86,NA,No FAC
1920,S18b6f5d7,75.5,65.5,78,90,NA,No FAC
1920,S0e07078d,86.38,81.25,61,90,NA,No FAC
1920,Sd6c9bd66,2.5,NA,41,73,NA,No FAC
1920,S458759ee,72,NA,36,69,50,FAC
1920,Se8fc82a9,63.88,68.13,51,72,NA,No FAC
1920,S2039ccd1,79.63,73.75,49,70,NA,No FAC
1920,S5f3410e3,31.75,43.75,65,56,NA,No FAC
1920,S7e921f9a,80.75,70.75,72,100,NA,No FAC
1920,S0c1f576a,85.13,80,81,90,52,FAC
1920,S845ef4df,66.5,NA,71,87,NA,No FAC
1920,S3915021b,86.38,78.25,83,100,NA,No FAC
1920,S8f923d56,92,89.25,87,95,78,FAC
1920,S14e15c42,68,65.5,86,70,NA,No FAC
1920,S78062775,86.38,79,91,100,NA,No FAC
1920,Sf483b8c5,87.75,75.75,84,98,NA,No FAC
1920,S4a7fffb5,70.13,NA,61,54,NA,No FAC
1920,S561e3733,65.25,68.25,66,60,NA,No FAC
1920,Sc85f59d1,69.5,NA,NA,0,NA,No FAC
1920,S8cd06345,100,84.5,97,100,NA,No FAC
1920,Sc3566576,96.38,78.25,67,50,NA,No FAC
1920,S8f3f36f8,97,80,83,100,NA,No FAC
1920,Sd97adc2d,70.25,92.75,82,94,NA,No FAC
1920,S3df236ea,82,63,72,77,NA,No FAC
1920,S5ebdfcef,65.25,66.75,54,86,57,FAC
1920,S121da72a,83,NA,NA,91,NA,No FAC
1920,S4b361e22,92,82.25,82,97,NA,No FAC
1920,S8dff477e,60.63,81.5,62,82,NA,No FAC
1920,S7675714d,85,NA,NA,93,NA,No FAC
1920,S6c46fd28,62,66.13,50,NA,NA,No FAC
1920,S72dbfd3e,82,83.88,66,98,NA,No FAC
1920,Sd36b9565,65,NA,53,93,76,FAC
1920,Se943aa3c,85,NA,92,96,NA,No FAC
1920,Se819fa32,72.25,59.25,45,84,76,FAC
1920,S2d2b0c17,92,96.38,82,98,NA,No FAC
1920,S0213404e,85,83.25,58,100,NA,No FAC
1920,Sfda530e9,85.25,91.5,64,98,NA,No FAC
1920,Sedc53b67,70.75,NA,NA,97,NA,No FAC
1920,Se52c9192,89,86.38,74,94,NA,No FAC
1920,S00e3e73b,85,NA,59,100,NA,No FAC
1920,S46455015,87,95,69,82,NA,No FAC
1920,S78334df6,78.75,88.38,89,100,NA,No FAC
1920,Sa0883af3,80.38,NA,65,95,NA,No FAC
1920,S3f42e0b7,80,75.75,83,98,NA,No FAC
1920,S39d94b3e,53.75,31.25,53,95,NA,No FAC
1920,S9325bd04,94,65.13,84,98,NA,No FAC
1920,Se236005f,76.88,69,83,94,NA,No FAC
1920,S01aa730d,81.88,78.5,NA,78,NA,No FAC
1920,S7e49d424,73.25,49.5,45,0,NA,No FAC
1920,S269c1807,90,NA,42,59,74,FAC
1920,S0ad204fe,0,NA,51,58,NA,No FAC
1920,Sd1ae370d,77,NA,NA,93,NA,No FAC
1920,S11e4ce1a,59,45.13,47,93,NA,No FAC
1920,Sa29b82d6,83.5,85.88,71,90,NA,No FAC
1920,S15222e69,79,55,52,88,76,FAC
1920,Sbabc4410,79.88,98.75,98,74,NA,No FAC
1920,S0f4af220,75.63,62.5,51,88,NA,No FAC
1920,S79828a1a,90.38,69.5,84,91,NA,No FAC
1920,S51f854a6,35.13,0,41,93,NA,No FAC
1920,Sc5149191,82.5,57,73,95,NA,No FAC
1920,Sd2ebbca0,75.38,74.75,53,76,NA,No FAC
1920,S1c7cb63b,77.75,86.13,69,75,NA,No FAC
1920,S5b5da394,69.25,65.88,51,98,NA,No FAC
1920,S9b6ac7e9,84,67.13,61,98,NA,No FAC
1920,Sbb287c53,86.5,74.5,70,99,87,FAC
1920,S1ff3d361,81.38,NA,NA,99,NA,No FAC
1920,S3dae7f02,77.25,56.25,40,82,57,FAC
1920,S7f03aacd,100,NA,0,0,NA,No FAC
1920,S019673c0,97,95,95,100,100,FAC
1920,Sa75c45bf,97,85.75,79,100,NA,No FAC
1920,S28543dd9,86.88,88.75,70,95,NA,No FAC
1920,Sf5391d44,66.5,NA,79,99,NA,No FAC
1920,Sdf274f6d,47,46,29,0,NA,No FAC
1920,Sdb769d4c,97,NA,85,100,NA,No FAC
1920,S87e50db6,66.5,61.75,67,81,NA,No FAC
1920,S566f7004,67,NA,40,97,83,FAC
1920,Sf3edf767,59.63,NA,60,92,NA,No FAC
1920,Sb085dc0a,5,NA,40,60,NA,No FAC
1920,Sefcc370b,64.5,NA,36,45,NA,No FAC
1920,S0b0718c1,57.38,63.75,51,0,50,FAC
1920,S544d191f,92,89.5,80,98,NA,No FAC
1920,S380a30ca,98.75,90,81,100,NA,No FAC
1920,S021f7d32,27.5,NA,44,67,19,FAC
1920,S48637b71,16.25,NA,NA,0,NA,No FAC
1920,S805eb286,73.88,71,36,49,NA,No FAC
1920,Sdec5e9c4,11.25,NA,69,0,NA,No FAC
1920,Sa34e0c69,17.5,NA,39,91,NA,No FAC
1920,Sd35db6dd,42.5,NA,48,86,NA,No FAC
1920,S790cfef1,15,30,71,83,NA,No FAC
1920,S9d02e40c,74.5,NA,61,93,NA,No FAC
1920,Sb25aa7a5,66,57.25,74,93,NA,No FAC
1920,S2522d5a1,91,NA,85,100,NA,No FAC
1920,S5e641a5a,62.25,34.5,38,98,NA,No FAC
1920,Sde7abf7c,89.38,NA,NA,73,NA,No FAC
1920,Se84361a9,59.5,76.88,68,89,NA,No FAC
1920,Sd16220d2,78.38,NA,60,100,NA,No FAC
1920,S9ae9b14b,76.25,77.5,0,98,NA,No FAC
1920,S67db4b9b,77,NA,64,81,NA,No FAC
1920,Sf3d1dcf1,40.63,28,44,87,NA,No FAC
1920,Sb4bc4970,84.13,NA,NA,68,69,FAC
1920,S374db588,27.5,34,32,72,65,FAC
1920,S48b929e1,65.13,71.25,50,95,NA,No FAC
1920,S2f58fd17,84.38,75.75,66,98,NA,No FAC
1920,S56fbdd28,99,87,78,100,NA,No FAC
1920,Sa787dc98,59,NA,49,80,NA,No FAC
1920,S04c58f8b,13.75,NA,NA,81,58,FAC
1920,Sfe608332,45.75,65.5,63,96,NA,No FAC
1920,Se42bc96c,82,96.25,95,94,NA,No FAC
1920,S2a53ca80,50.75,NA,66,75,NA,No FAC
1920,Sc691d7be,25,81.13,82,86,NA,No FAC
1920,S1a64d524,69.75,82,47,79,50,FAC
1920,Sed876744,47,64,55,83,NA,No FAC
1920,S529f8468,5,NA,NA,77,NA,No FAC
1920,Sd12c1314,55.75,NA,NA,0,NA,No FAC
1920,S98230499,58.75,69.5,10,58,NA,No FAC
1920,S9a930af2,15,NA,NA,93,NA,No FAC
1920,S8630f6a8,52.5,72.5,50,40,NA,No FAC
1920,S38cbd1de,0,NA,0,44,NA,No FAC
1920,S235b8df7,16.25,NA,NA,40,10,FAC
1920,Sdaf00b74,0,NA,0,0,NA,No FAC
1920,S3f848ae7,2.5,NA,44,0,NA,No FAC
1920,S71143f09,75.38,NA,NA,0,NA,No FAC
1920,S1e286a91,44,79.75,57,86,NA,No FAC
1920,S2ced186a,58.75,NA,47,55,NA,No FAC
1920,S6d3188a2,0,NA,0,0,NA,No FAC
1920,S08482efa,NA,88.88,40,0,NA,No FAC
1920,S3802876f,NA,81.5,47,0,NA,No FAC
1920,Se87a99d1,NA,55.13,NA,NA,59,FAC
1920,Saea9c429,NA,93.38,70,53,NA,No FAC
1920,S4e8c4842,NA,71.25,54,NA,NA,No FAC
1920,Se8397787,NA,64.5,NA,NA,67,FAC
1920,S53e0c458,NA,43.38,NA,NA,0,FAC
1920,Sb179f18b,NA,58,53,NA,NA,No FAC
1920,S2a1bc077,NA,80.25,87,NA,NA,No FAC
1920,Sf21c95f6,NA,72,54,77,NA,No FAC
1920,S12cc839b,NA,100,83,56,NA,No FAC
1920,S7832ad1a,NA,69,NA,NA,58,FAC
1920,Saa043005,NA,29.5,13,0,75,FAC
1920,Se240b5ee,NA,26.5,43,NA,NA,No FAC
1920,Sbd0cf8a0,NA,67.88,62,81,NA,No FAC
1920,S2f51411c,NA,52.38,46,NA,NA,No FAC
1920,S0591cb7c,NA,95,97,92,NA,No FAC
1920,S033e3432,NA,84,63,NA,NA,No FAC
1920,Sdf4b8e8c,NA,35.75,37,75,NA,No FAC
1920,Se1c0202f,NA,91.5,85,NA,NA,No FAC
1920,Sa195ce6b,NA,76.38,NA,NA,NA,No FAC
1920,Se5513f8c,NA,15,58,88,NA,No FAC
1920,S3442601b,NA,49,0,0,NA,No FAC
1920,S9365afd1,NA,52.13,82,NA,NA,No FAC
1920,S0272299e,NA,27.25,NA,NA,65,FAC
1920,S5ea3980b,NA,83.88,95,100,NA,No FAC
1920,S5963156e,NA,100,91,0,NA,No FAC
1920,Sc53bcb87,NA,85.13,85,NA,NA,No FAC
1920,S605097e0,NA,85,68,NA,NA,No FAC
1920,Sd1d60c28,NA,38.63,NA,NA,0,FAC
1920,S8133bf3f,NA,62,54,89,NA,No FAC
1920,S538aae08,NA,43,37,54,NA,No FAC
1920,S9d61a0d7,NA,75.75,67,NA,NA,No FAC
1920,Sf999e4fd,NA,88.25,63,78,NA,No FAC
1920,Sb9947c30,NA,90.63,72,59,NA,No FAC
1920,Seecf48bb,NA,90.75,0,NA,NA,No FAC
1920,S60f2a0af,NA,86.5,73,97,NA,No FAC
1920,Saa91dc31,NA,81.38,NA,NA,62,FAC
1920,S416e7d68,NA,62,NA,NA,0,FAC
1920,S1b276267,NA,79,72,100,NA,No FAC
1920,Saf292df5,NA,86.75,89,0,NA,No FAC
1920,S50e0c668,NA,62.5,46,79,NA,No FAC
1920,S5cb48522,NA,71.5,NA,NA,72,FAC
1920,S8af5e07b,NA,88.13,99,NA,NA,No FAC
1920,Sba25f8d6,NA,44.88,NA,NA,NA,No FAC
1920,Se786c0f2,NA,33,NA,NA,48,FAC
1920,Saa5b15fe,NA,71.88,NA,NA,79,FAC
1920,S92b5494b,NA,51,NA,NA,70,FAC
1920,S08d100bc,NA,70,53,0,NA,No FAC
1920,S274a6a3b,NA,29.75,NA,NA,70,FAC
1920,S57ddb465,NA,89.38,NA,NA,70,FAC
1920,S34689c42,NA,20.38,0,0,NA,No FAC
1920,S1b098a04,NA,65.88,46,0,NA,No FAC
1920,Se87def70,NA,85.25,70,NA,NA,No FAC
1920,S192ed7d0,NA,61.5,56,NA,NA,No FAC
1920,Sc6251c65,NA,78,NA,NA,71,FAC
1920,Sdee044f2,NA,37.25,NA,NA,86,FAC
1920,Se028dc31,NA,69.13,94,85,NA,No FAC
1920,S300b0c40,NA,53.5,NA,NA,NA,No FAC
1920,Sd53701e8,NA,58.75,43,88,43,FAC
1920,S7ab18772,NA,88.25,79,74,71,FAC
1920,S8b0f34d2,NA,56.75,49,0,NA,No FAC
1920,S65b2cecb,NA,82.38,98,95,99,FAC
1920,S5113aeca,NA,70,56,NA,NA,No FAC
1920,Sc12c51bf,NA,77.63,76,100,NA,No FAC
1920,Scb967492,NA,81.25,50,50,NA,No FAC
1920,S78b12359,NA,94.5,100,NA,NA,No FAC
1920,S0b518d52,NA,83.38,NA,NA,61,FAC
1920,S0b916b8b,NA,54.25,65,NA,NA,No FAC
1920,S6782a85f,NA,65,58,NA,NA,No FAC
1920,S3e551062,NA,82,0,NA,NA,No FAC
1920,S21210c86,NA,93.75,89,NA,NA,No FAC
1920,Sfe7df8fa,NA,92,0,0,NA,No FAC
1920,S3510f211,NA,59,61,84,NA,No FAC
1920,S1b8c7ba3,NA,65,46,NA,NA,No FAC
1920,S259298c0,NA,61.25,18,NA,NA,No FAC
1920,Se68a83a3,NA,74.63,69,98,NA,No FAC
