AnonID,course_year_code,course_mode_of_study,course_code_title
Se87def70,2019/0,CE Classes & Assessment incl. centrally arranged exam,MATH08057 / Introduction to Linear Algebra
Sb2e04dcb,2018/9,E Exam only  (centrally arranged),MATH08057 / Introduction to Linear Algebra
Sb2e04dcb,2018/9,E Exam only  (centrally arranged),MATH08058 / Calculus and its Applications
Scee0b732,2018/9,CE Classes & Assessment incl. centrally arranged exam,MATH08057 / Introduction to Linear Algebra
Scee0b732,2018/9,CE Classes & Assessment incl. centrally arranged exam,MATH08058 / Calculus and its Applications
S787aceb0,2018/9,CA Classes & Assessment excl. centrally arranged exam,MATH07003 / Fundamentals of Algebra and Calculus
S787aceb0,2018/9,CE Classes & Assessment incl. centrally arranged exam,MATH08057 / Introduction to Linear Algebra
S787aceb0,2018/9,CE Classes & Assessment incl. centrally arranged exam,MATH08058 / Calculus and its Applications
Secf1e2bd,2018/9,CE Classes & Assessment incl. centrally arranged exam,MATH08058 / Calculus and its Applications
S3b882d27,2018/9,C Class Only,MATH08057 / Introduction to Linear Algebra
Sc156570e,2018/9,CE Classes & Assessment incl. centrally arranged exam,MATH08058 / Calculus and its Applications
S35cb77ca,2018/9,CE Classes & Assessment incl. centrally arranged exam,MATH08057 / Introduction to Linear Algebra
S35cb77ca,2018/9,CE Classes & Assessment incl. centrally arranged exam,MATH08058 / Calculus and its Applications
Seea12a2d,2018/9,CA Classes & Assessment excl. centrally arranged exam,MATH07003 / Fundamentals of Algebra and Calculus
Seea12a2d,2018/9,CE Classes & Assessment incl. centrally arranged exam,MATH08058 / Calculus and its Applications
S529f8468,2019/0,CE Classes & Assessment incl. centrally arranged exam,MATH08058 / Calculus and its Applications
S5ea3980b,2019/0,CE Classes & Assessment incl. centrally arranged exam,MATH08057 / Introduction to Linear Algebra
S5ea3980b,2019/0,CE Classes & Assessment incl. centrally arranged exam,MATH08058 / Calculus and its Applications
S420eac10,2018/9,CE Classes & Assessment incl. centrally arranged exam,MATH08057 / Introduction to Linear Algebra
S3b928d7f,2018/9,CE Classes & Assessment incl. centrally arranged exam,MATH08057 / Introduction to Linear Algebra
S3b928d7f,2018/9,CE Classes & Assessment incl. centrally arranged exam,MATH08058 / Calculus and its Applications
S4b385421,2018/9,CE Classes & Assessment incl. centrally arranged exam,MATH08057 / Introduction to Linear Algebra
S4b385421,2018/9,CE Classes & Assessment incl. centrally arranged exam,MATH08058 / Calculus and its Applications
Sf36fd7f0,2019/0,CA Classes & Assessment excl. centrally arranged exam,MATH07003 / Fundamentals of Algebra and Calculus
Se9c3f95a,2018/9,CE Classes & Assessment incl. centrally arranged exam,MATH08057 / Introduction to Linear Algebra
Se9c3f95a,2018/9,CE Classes & Assessment incl. centrally arranged exam,MATH08058 / Calculus and its Applications
Se9c3f95a,2019/0,CE Classes & Assessment incl. centrally arranged exam,MATH08058 / Calculus and its Applications
Sd458ce96,2018/9,CE Classes & Assessment incl. centrally arranged exam,MATH08057 / Introduction to Linear Algebra
Se168a21b,2018/9,CE Classes & Assessment incl. centrally arranged exam,MATH08057 / Introduction to Linear Algebra
S8c7f8177,2018/9,CE Classes & Assessment incl. centrally arranged exam,MATH08058 / Calculus and its Applications
S954d08ef,2018/9,CE Classes & Assessment incl. centrally arranged exam,MATH08057 / Introduction to Linear Algebra
S954d08ef,2018/9,CE Classes & Assessment incl. centrally arranged exam,MATH08058 / Calculus and its Applications
Sb500d14e,2019/0,C Class Only,MATH08057 / Introduction to Linear Algebra
Sb500d14e,2019/0,CE Classes & Assessment incl. centrally arranged exam,MATH08058 / Calculus and its Applications
S152d313e,2018/9,CE Classes & Assessment incl. centrally arranged exam,MATH08057 / Introduction to Linear Algebra
S152d313e,2018/9,CE Classes & Assessment incl. centrally arranged exam,MATH08058 / Calculus and its Applications
S388ebbec,2018/9,CE Classes & Assessment incl. centrally arranged exam,MATH08057 / Introduction to Linear Algebra
S53cd7bb1,2018/9,E Exam only  (centrally arranged),MATH08058 / Calculus and its Applications
Sb1b0848c,2018/9,CE Classes & Assessment incl. centrally arranged exam,MATH08057 / Introduction to Linear Algebra
Sb1b0848c,2018/9,CE Classes & Assessment incl. centrally arranged exam,MATH08058 / Calculus and its Applications
S8936cdfb,2018/9,CE Classes & Assessment incl. centrally arranged exam,MATH08058 / Calculus and its Applications
S8936cdfb,2019/0,CE Classes & Assessment incl. centrally arranged exam,MATH08057 / Introduction to Linear Algebra
S0271b26e,2020/1,CA Classes & Assessment excl. centrally arranged exam,MATH08057 / Introduction to Linear Algebra
S0271b26e,2020/1,CE Classes & Assessment incl. centrally arranged exam,MATH08058 / Calculus and its Applications
S029945fc,2018/9,CE Classes & Assessment incl. centrally arranged exam,MATH08057 / Introduction to Linear Algebra
S029945fc,2018/9,CE Classes & Assessment incl. centrally arranged exam,MATH08058 / Calculus and its Applications
Sdfe714e1,2018/9,CE Classes & Assessment incl. centrally arranged exam,MATH08058 / Calculus and its Applications
S08e521da,2018/9,CE Classes & Assessment incl. centrally arranged exam,MATH08057 / Introduction to Linear Algebra
S08e521da,2018/9,CE Classes & Assessment incl. centrally arranged exam,MATH08058 / Calculus and its Applications
S473079bb,2018/9,CE Classes & Assessment incl. centrally arranged exam,MATH08057 / Introduction to Linear Algebra
S033e3432,2019/0,CE Classes & Assessment incl. centrally arranged exam,MATH08057 / Introduction to Linear Algebra
Scd5b7d72,2018/9,CE Classes & Assessment incl. centrally arranged exam,MATH08058 / Calculus and its Applications
S7fe357af,2018/9,CE Classes & Assessment incl. centrally arranged exam,MATH08058 / Calculus and its Applications
S374f25d6,2018/9,CE Classes & Assessment incl. centrally arranged exam,MATH08057 / Introduction to Linear Algebra
S374f25d6,2018/9,CE Classes & Assessment incl. centrally arranged exam,MATH08058 / Calculus and its Applications
S374f25d6,2018/9,CE Classes & Assessment incl. centrally arranged exam,MATH07003 / Fundamentals of Algebra and Calculus
Scfdef0c8,2018/9,CE Classes & Assessment incl. centrally arranged exam,MATH08058 / Calculus and its Applications
S1e649b90,2018/9,E Exam only  (centrally arranged),MATH08058 / Calculus and its Applications
Sc78164db,2018/9,CE Classes & Assessment incl. centrally arranged exam,MATH08057 / Introduction to Linear Algebra
S82803564,2018/9,CE Classes & Assessment incl. centrally arranged exam,MATH08058 / Calculus and its Applications
Sba0c26a4,2018/9,CE Classes & Assessment incl. centrally arranged exam,MATH08057 / Introduction to Linear Algebra
