"AnonID","State","Started.on","Completed","Time.taken","Grade.100.00","Q1..5.00","Q2..5.00","Q3..5.00","Q4..5.00","Q5..5.00","Q6..5.00","Q7..5.00","Q8..5.00","Q9..5.00","Q10..5.00","Q11..5.00","Q12..5.00","Q13..5.00","Q14..5.00","Q15..5.00","Q16..5.00","Q17..5.00","Q18..5.00","Q19..5.00","Q20..5.00"
"Se858f976","Finished","9 January 2020  12:40 AM","9 January 2020  1:14 AM","33 mins 51 secs",85,"5.00","5.00","5.00","5.00","3.00","5.00","0.00","5.00","5.00","5.00","2.00","5.00","5.00","5.00","0.00","5.00","5.00","5.00","5.00","5.00"
"Sb2f315a6","Finished","9 January 2020  10:44 AM","9 January 2020  12:03 PM","1 hour 18 mins",87.75,"5.00","5.00","5.00","5.00","0.00","5.00","5.00","5.00","5.00","5.00","5.00","4.00","5.00","5.00","3.75","5.00","5.00","5.00","0.00","5.00"
"S4a2e4cf5","Finished","9 January 2020  11:06 AM","9 January 2020  12:36 PM","1 hour 29 mins",39,"5.00","0.00","-","0.00","-","-","-","-","0.00","-","-","0.00","2.00","2.00","5.00","5.00","5.00","5.00","5.00","5.00"
"Sa5c7a86f","Finished","9 January 2020  11:55 AM","9 January 2020  12:49 PM","53 mins 18 secs",95,"5.00","5.00","5.00","5.00","5.00","5.00","0.00","5.00","5.00","5.00","5.00","5.00","5.00","5.00","5.00","5.00","5.00","5.00","5.00","5.00"
"S5b8c8725","Finished","9 January 2020  1:01 PM","9 January 2020  1:58 PM","56 mins 52 secs",91.5,"5.00","5.00","5.00","5.00","2.00","5.00","5.00","5.00","2.50","5.00","2.00","5.00","5.00","5.00","5.00","5.00","5.00","5.00","5.00","5.00"
"Sfb15326d","Finished","9 January 2020  2:02 PM","9 January 2020  3:16 PM","1 hour 13 mins",97.5,"5.00","5.00","5.00","5.00","5.00","5.00","5.00","5.00","2.50","5.00","5.00","5.00","5.00","5.00","5.00","5.00","5.00","5.00","5.00","5.00"
"S8c916001","Finished","9 January 2020  2:37 PM","9 January 2020  4:04 PM","1 hour 26 mins",78.75,"5.00","5.00","5.00","5.00","0.00","5.00","0.00","5.00","5.00","3.75","5.00","0.00","5.00","5.00","5.00","5.00","5.00","5.00","-","5.00"
"S7bf91489","Finished","9 January 2020  2:43 PM","9 January 2020  3:39 PM","56 mins 37 secs",63.25,"5.00","5.00","5.00","5.00","0.00","0.00","0.00","0.00","5.00","1.25","5.00","5.00","5.00","2.00","5.00","5.00","5.00","5.00","0.00","0.00"
"Se57c8888","Finished","9 January 2020  5:05 PM","9 January 2020  5:39 PM","34 mins 7 secs",92.5,"-","5.00","5.00","5.00","5.00","5.00","5.00","5.00","2.50","5.00","5.00","5.00","5.00","5.00","5.00","5.00","5.00","5.00","5.00","5.00"
"Sd84aea10","Finished","9 January 2020  5:29 PM","9 January 2020  6:20 PM","51 mins 9 secs",73.88,"-","5.00","5.00","0.00","2.00","5.00","0.00","5.00","5.00","1.88","5.00","5.00","5.00","5.00","5.00","5.00","5.00","5.00","5.00","0.00"
"Sbf13e31a","Finished","10 January 2020  12:51 PM","10 January 2020  2:09 PM","1 hour 17 mins",78.38,"-","5.00","5.00","5.00","0.00","5.00","5.00","5.00","5.00","4.38","2.00","5.00","5.00","2.00","5.00","5.00","5.00","5.00","-","5.00"
"Sbf9b0f34","Finished","10 January 2020  3:22 PM","10 January 2020  4:40 PM","1 hour 18 mins",62.75,"0.00","5.00","3.75","-","2.00","5.00","0.00","5.00","5.00","-","5.00","-","5.00","2.00","5.00","5.00","5.00","5.00","5.00","0.00"
"S24dd12ff","Finished","10 January 2020  3:25 PM","10 January 2020  4:12 PM","47 mins 18 secs",95,"0.00","5.00","5.00","5.00","5.00","5.00","5.00","5.00","5.00","5.00","5.00","5.00","5.00","5.00","5.00","5.00","5.00","5.00","5.00","5.00"
"Sf7961906","Finished","10 January 2020  5:57 PM","10 January 2020  7:09 PM","1 hour 11 mins",46.63,"0.00","5.00","5.00","5.00","0.00","0.00","0.00","5.00","2.50","3.13","5.00","-","5.00","1.00","5.00","5.00","0.00","0.00","0.00","0.00"
"Saba9aec4","Finished","10 January 2020  5:59 PM","10 January 2020  7:09 PM","1 hour 10 mins",100,"5.00","5.00","5.00","5.00","5.00","5.00","5.00","5.00","5.00","5.00","5.00","5.00","5.00","5.00","5.00","5.00","5.00","5.00","5.00","5.00"
"S2c4f2f25","Finished","10 January 2020  7:11 PM","10 January 2020  7:46 PM","34 mins 39 secs",41.25,"0.00","5.00","3.75","5.00","5.00","5.00","0.00","5.00","2.50","-","2.00","1.00","2.00","-","-","5.00","0.00","-","-","-"
"Sbbb6fe69","Finished","10 January 2020  8:14 PM","10 January 2020  9:07 PM","52 mins 20 secs",95,"0.00","5.00","5.00","5.00","5.00","5.00","5.00","5.00","5.00","5.00","5.00","5.00","5.00","5.00","5.00","5.00","5.00","5.00","5.00","5.00"
"S785b736f","Finished","11 January 2020  1:57 AM","11 January 2020  3:08 AM","1 hour 10 mins",65,"5.00","0.00","5.00","5.00","3.00","2.50","0.00","5.00","5.00","2.50","5.00","5.00","5.00","2.00","0.00","5.00","5.00","5.00","0.00","0.00"
"S4e91906e","Finished","11 January 2020  10:04 AM","11 January 2020  11:15 AM","1 hour 10 mins",95,"-","5.00","5.00","5.00","5.00","5.00","5.00","5.00","5.00","5.00","5.00","5.00","5.00","5.00","5.00","5.00","5.00","5.00","5.00","5.00"
"S298666d8","Finished","11 January 2020  12:13 PM","11 January 2020  1:34 PM","1 hour 20 mins",63,"0.00","0.00","5.00","5.00","5.00","-","0.00","5.00","5.00","-","1.00","5.00","5.00","2.00","5.00","5.00","5.00","5.00","5.00","0.00"
"Se1ff94c7","Finished","11 January 2020  1:47 PM","11 January 2020  3:12 PM","1 hour 25 mins",100,"5.00","5.00","5.00","5.00","5.00","5.00","5.00","5.00","5.00","5.00","5.00","5.00","5.00","5.00","5.00","5.00","5.00","5.00","5.00","5.00"
"Sb500d14e","Finished","11 January 2020  2:35 PM","11 January 2020  4:03 PM","1 hour 27 mins",85,"5.00","5.00","5.00","5.00","-","5.00","0.00","5.00","5.00","5.00","5.00","5.00","5.00","0.00","5.00","5.00","5.00","5.00","5.00","5.00"
"Sca157791","Finished","11 January 2020  3:13 PM","11 January 2020  3:59 PM","46 mins 13 secs",90,"0.00","5.00","5.00","5.00","5.00","5.00","0.00","5.00","5.00","5.00","5.00","5.00","5.00","5.00","5.00","5.00","5.00","5.00","5.00","5.00"
"S47ae46d4","Finished","11 January 2020  3:43 PM","11 January 2020  4:45 PM","1 hour 1 min",81.5,"-","5.00","5.00","5.00","2.00","5.00","5.00","5.00","2.50","5.00","5.00","5.00","5.00","2.00","5.00","5.00","5.00","5.00","5.00","-"
"Sc6daa516","Finished","11 January 2020  4:03 PM","11 January 2020  4:50 PM","46 mins 55 secs",68.5,"0.00","5.00","2.50","5.00","-","5.00","5.00","5.00","5.00","-","2.00","5.00","2.00","2.00","5.00","5.00","5.00","5.00","0.00","5.00"
"S95aff3dd","Finished","11 January 2020  4:13 PM","11 January 2020  5:15 PM","1 hour 2 mins",55.38,"-","5.00","1.25","5.00","2.00","5.00","0.00","5.00","5.00","3.13","5.00","5.00","2.00","2.00","0.00","5.00","5.00","-","-","0.00"
"S6a99612a","Finished","11 January 2020  4:13 PM","11 January 2020  5:12 PM","59 mins 44 secs",74,"-","5.00","5.00","5.00","2.00","5.00","5.00","5.00","5.00","-","2.00","5.00","5.00","5.00","5.00","5.00","5.00","5.00","-","-"
"S77226230","Finished","11 January 2020  4:15 PM","11 January 2020  5:31 PM","1 hour 15 mins",86.88,"0.00","5.00","5.00","5.00","0.00","5.00","5.00","5.00","5.00","4.38","5.00","5.00","5.00","5.00","2.50","5.00","5.00","5.00","5.00","5.00"
"S47bcdbdb","Finished","11 January 2020  4:21 PM","11 January 2020  5:42 PM","1 hour 20 mins",85,"0.00","5.00","5.00","5.00","0.00","5.00","5.00","5.00","5.00","5.00","5.00","5.00","5.00","5.00","0.00","5.00","5.00","5.00","5.00","5.00"
"Se7707c51","Finished","11 January 2020  5:20 PM","11 January 2020  7:00 PM","1 hour 39 mins",0,"0.00","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"S6cfbf33a","Finished","11 January 2020  5:31 PM","11 January 2020  6:38 PM","1 hour 7 mins",73.25,"0.00","5.00","5.00","5.00","5.00","5.00","0.00","5.00","5.00","1.25","5.00","5.00","5.00","2.00","0.00","5.00","5.00","5.00","5.00","0.00"
"Sa8020088","Finished","11 January 2020  6:10 PM","11 January 2020  7:19 PM","1 hour 8 mins",89,"5.00","5.00","5.00","5.00","2.00","5.00","5.00","5.00","5.00","5.00","5.00","5.00","5.00","2.00","0.00","5.00","5.00","5.00","5.00","5.00"
"S5d501aba","Finished","12 January 2020  7:11 AM","12 January 2020  8:00 AM","48 mins 33 secs",85.75,"0.00","5.00","5.00","5.00","2.00","5.00","-","5.00","5.00","3.75","5.00","5.00","5.00","5.00","5.00","5.00","5.00","5.00","5.00","5.00"
"S621a2b20","Finished","12 January 2020  10:30 AM","12 January 2020  11:08 AM","37 mins 47 secs",92,"0.00","5.00","5.00","5.00","5.00","5.00","5.00","5.00","5.00","5.00","5.00","5.00","5.00","2.00","5.00","5.00","5.00","5.00","5.00","5.00"
"S3e603e24","Finished","12 January 2020  11:18 AM","12 January 2020  12:40 PM","1 hour 22 mins",83.75,"0.00","5.00","5.00","5.00","5.00","5.00","-","5.00","2.50","1.25","5.00","5.00","5.00","5.00","5.00","5.00","5.00","5.00","5.00","5.00"
"S68eaced0","Finished","12 January 2020  11:51 AM","12 January 2020  12:51 PM","59 mins 40 secs",100,"5.00","5.00","5.00","5.00","5.00","5.00","5.00","5.00","5.00","5.00","5.00","5.00","5.00","5.00","5.00","5.00","5.00","5.00","5.00","5.00"
"S8a362c64","Finished","12 January 2020  11:53 AM","12 January 2020  1:11 PM","1 hour 17 mins",61.25,"0.00","5.00","3.75","-","-","5.00","-","0.00","0.00","2.50","5.00","5.00","5.00","5.00","5.00","5.00","5.00","5.00","5.00","-"
"S0d31749c","Finished","12 January 2020  12:28 PM","12 January 2020  1:03 PM","35 mins 20 secs",95,"5.00","5.00","5.00","5.00","0.00","5.00","5.00","5.00","5.00","5.00","5.00","5.00","5.00","5.00","5.00","5.00","5.00","5.00","5.00","5.00"
"S75e65976","Finished","12 January 2020  2:33 PM","12 January 2020  3:47 PM","1 hour 14 mins",80.25,"0.00","5.00","1.25","5.00","2.00","5.00","0.00","5.00","5.00","5.00","5.00","5.00","5.00","2.00","5.00","5.00","5.00","5.00","5.00","5.00"
"S179a64ca","Finished","12 January 2020  2:41 PM","12 January 2020  4:10 PM","1 hour 28 mins",58.25,"0.00","5.00","2.50","5.00","0.00","-","0.00","5.00","0.00","1.25","5.00","5.00","5.00","2.00","2.50","5.00","5.00","5.00","0.00","5.00"
"S36a05a61","Finished","12 January 2020  2:46 PM","12 January 2020  3:47 PM","1 hour 1 min",87,"5.00","5.00","5.00","5.00","2.00","5.00","0.00","5.00","5.00","5.00","5.00","5.00","5.00","5.00","5.00","5.00","5.00","0.00","5.00","5.00"
"Sb3090116","Finished","12 January 2020  3:13 PM","12 January 2020  4:07 PM","53 mins 39 secs",82.13,"0.00","5.00","5.00","5.00","2.00","5.00","5.00","5.00","5.00","3.13","5.00","5.00","5.00","2.00","5.00","5.00","5.00","5.00","5.00","0.00"
"Scbd2d199","Finished","12 January 2020  3:17 PM","12 January 2020  4:08 PM","50 mins 53 secs",68.38,"0.00","5.00","5.00","5.00","2.00","5.00","0.00","5.00","2.50","4.38","5.00","0.00","2.00","5.00","2.50","5.00","0.00","5.00","5.00","5.00"
"S2a0f4371","Finished","12 January 2020  3:26 PM","12 January 2020  4:46 PM","1 hour 19 mins",88.25,"-","5.00","3.75","5.00","2.00","5.00","5.00","5.00","5.00","2.50","5.00","5.00","5.00","5.00","5.00","5.00","5.00","5.00","5.00","5.00"
"S51c08048","Finished","12 January 2020  3:34 PM","12 January 2020  5:01 PM","1 hour 26 mins",90,"-","5.00","5.00","5.00","-","5.00","5.00","5.00","5.00","5.00","5.00","5.00","5.00","5.00","5.00","5.00","5.00","5.00","5.00","5.00"
"S48ed8956","Finished","12 January 2020  3:36 PM","12 January 2020  4:53 PM","1 hour 16 mins",69.5,"-","0.00","5.00","5.00","-","5.00","0.00","5.00","5.00","-","5.00","5.00","5.00","2.00","2.50","5.00","5.00","5.00","5.00","5.00"
"S11a13226","Finished","12 January 2020  3:39 PM","12 January 2020  4:57 PM","1 hour 18 mins",100,"5.00","5.00","5.00","5.00","5.00","5.00","5.00","5.00","5.00","5.00","5.00","5.00","5.00","5.00","5.00","5.00","5.00","5.00","5.00","5.00"
"S2472df18","Finished","12 January 2020  3:50 PM","12 January 2020  5:05 PM","1 hour 14 mins",89.5,"2.50","5.00","5.00","5.00","2.00","5.00","5.00","5.00","5.00","5.00","5.00","5.00","5.00","5.00","5.00","5.00","5.00","5.00","5.00","0.00"
"S13b3132d","Finished","12 January 2020  4:03 PM","12 January 2020  4:44 PM","41 mins 44 secs",87,"0.00","5.00","5.00","5.00","2.00","5.00","0.00","5.00","5.00","5.00","5.00","5.00","5.00","5.00","5.00","5.00","5.00","5.00","5.00","5.00"
"Sc460e586","Finished","12 January 2020  4:18 PM","12 January 2020  5:44 PM","1 hour 26 mins",70.75,"0.00","5.00","5.00","5.00","0.00","5.00","0.00","5.00","5.00","3.75","5.00","5.00","5.00","2.00","0.00","5.00","5.00","5.00","5.00","0.00"
"Sbb1d27b4","Finished","12 January 2020  4:27 PM","12 January 2020  5:07 PM","40 mins 19 secs",97.5,"5.00","5.00","5.00","5.00","5.00","5.00","5.00","5.00","2.50","5.00","5.00","5.00","5.00","5.00","5.00","5.00","5.00","5.00","5.00","5.00"
"Sfe7b01d2","Finished","12 January 2020  5:48 PM","12 January 2020  6:56 PM","1 hour 8 mins",81.38,"2.50","5.00","2.50","5.00","2.00","5.00","5.00","5.00","0.00","4.38","5.00","5.00","5.00","5.00","5.00","5.00","5.00","5.00","5.00","0.00"
"Sd3ad8a94","Finished","12 January 2020  6:17 PM","12 January 2020  7:20 PM","1 hour 3 mins",77,"0.00","5.00","5.00","5.00","2.00","5.00","0.00","5.00","5.00","5.00","5.00","5.00","0.00","5.00","5.00","5.00","5.00","5.00","0.00","5.00"
"Se42d45e5","Finished","12 January 2020  6:19 PM","12 January 2020  7:25 PM","1 hour 6 mins",71.5,"0.00","5.00","2.50","5.00","2.00","5.00","0.00","5.00","0.00","2.50","5.00","5.00","5.00","2.00","2.50","5.00","5.00","5.00","5.00","5.00"
"S835fc2da","Finished","12 January 2020  6:21 PM","12 January 2020  7:09 PM","48 mins 26 secs",77,"0.00","5.00","5.00","5.00","2.00","5.00","0.00","5.00","5.00","5.00","5.00","5.00","5.00","5.00","5.00","5.00","5.00","5.00","0.00","0.00"
"S9a31902a","Finished","12 January 2020  6:24 PM","12 January 2020  7:28 PM","1 hour 3 mins",68.75,"5.00","5.00","3.75","0.00","0.00","5.00","0.00","5.00","5.00","3.75","5.00","1.00","2.00","2.00","1.25","5.00","5.00","5.00","5.00","5.00"
"S01ec4eb5","Finished","12 January 2020  6:48 PM","12 January 2020  7:10 PM","21 mins 15 secs",32.63,"0.00","5.00","0.00","5.00","-","5.00","-","5.00","0.00","0.63","2.00","-","0.00","-","-","5.00","5.00","-","-","-"
"S7d59d3a8","Finished","12 January 2020  6:59 PM","12 January 2020  8:12 PM","1 hour 13 mins",78.88,"0.00","5.00","5.00","5.00","2.00","5.00","0.00","5.00","5.00","1.88","5.00","5.00","5.00","5.00","0.00","5.00","5.00","5.00","5.00","5.00"
"Se47a0f8d","Finished","12 January 2020  7:29 PM","12 January 2020  8:59 PM","1 hour 30 mins",95,"0.00","5.00","5.00","5.00","5.00","5.00","5.00","5.00","5.00","5.00","5.00","5.00","5.00","5.00","5.00","5.00","5.00","5.00","5.00","5.00"
"Sc3bd0d9a","Finished","12 January 2020  7:30 PM","12 January 2020  8:59 PM","1 hour 28 mins",95,"0.00","5.00","5.00","5.00","5.00","5.00","5.00","5.00","5.00","5.00","5.00","5.00","5.00","5.00","5.00","5.00","5.00","5.00","5.00","5.00"
"S1e613532","Finished","12 January 2020  7:33 PM","12 January 2020  9:00 PM","1 hour 26 mins",89,"0.00","5.00","5.00","5.00","2.00","5.00","5.00","5.00","5.00","5.00","5.00","5.00","5.00","2.00","5.00","5.00","5.00","5.00","5.00","5.00"
"S4e7a4d3a","Finished","12 January 2020  7:57 PM","12 January 2020  8:32 PM","34 mins 33 secs",70.25,"-","5.00","5.00","0.00","-","5.00","0.00","5.00","5.00","5.00","5.00","5.00","2.00","2.00","1.25","5.00","5.00","5.00","5.00","5.00"
"Sf1fbc256","Finished","12 January 2020  8:01 PM","12 January 2020  9:30 PM","1 hour 29 mins",61.38,"0.00","0.00","5.00","5.00","-","2.50","0.00","5.00","0.00","1.88","5.00","5.00","5.00","2.00","5.00","5.00","5.00","5.00","5.00","0.00"
"S991520ce","Finished","12 January 2020  8:17 PM","12 January 2020  9:37 PM","1 hour 19 mins",97,"5.00","5.00","5.00","5.00","2.00","5.00","5.00","5.00","5.00","5.00","5.00","5.00","5.00","5.00","5.00","5.00","5.00","5.00","5.00","5.00"
